,Title,Published_date,views,likes,comments,Month
240,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,176497,4439,151,Feb
241,Advanced SQL Tutorial | Temp Tables,2021-02-02,252293,5616,141,Feb
242,IBM Data Analyst Certificate Study Session,2021-01-30,5230,173,22,Jan
243,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,125134,3146,307,Jan
244,DataCamp Review | Is it Worth it?,2021-01-21,177072,3706,260,Jan
245,Best Python Course for Data Analysts,2021-01-19,53236,1360,118,Jan
246,Top 5 Data Analyst Skills,2021-01-12,31847,1327,173,Jan
247,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,15098,489,147,Jan
248,Top 5 Data Analyst Interview Mistakes,2021-01-05,86340,2185,73,Jan
249,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1571,140,101,Dec
250,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,41627,1197,137,Dec
251,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,11380,241,32,Dec
252,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,46777,1548,209,Dec
253,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,83708,2757,146,Dec
254,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2896,93,53,Dec
255,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,343261,5501,186,Dec
256,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,23084,737,189,Dec
257,Intermediate SQL Tutorial | Partition By,2020-12-01,276444,6413,200,Dec
258,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4856,131,18,Nov
259,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,24586,881,162,Nov
260,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14476,569,205,Nov
261,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,292213,10805,235,Nov
262,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3832,119,81,Nov
263,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,25426,657,65,Nov
264,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,13302,383,117,Nov
265,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,77071,3608,275,Nov
266,Data Analyst Q&A LIVE #4,2020-10-30,3499,105,25,Oct
267,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,14066,560,222,Oct
268,Top 10 Udemy Courses for Data Analysts,2020-10-22,170129,4823,283,Oct
269,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,179036,6214,988,Oct
270,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4717,176,74,Oct
271,Top 10 Coursera Courses for Data Analysts,2020-10-13,109115,4746,285,Oct
272,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,7341,365,176,Oct
273,Data Analyst Expectations vs Reality,2020-10-06,75743,2799,188,Oct
274,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7250,252,161,Oct
